kind,volumeInfo,searchInfo,saleInfo,etag,accessInfo,id,selfLink
books#volume,"{u'publisher': u'Heinemann-Raintree Library', u'description': u'Provides information about cat breeds, physical characteristics, and behavior, and describes how to care for a cat as a pet.', u'language': u'en', u'publishedDate': u'2006', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=mA7__e34MGwC&printsec=frontcover&dq=cats&hl=&cd=1&source=gbs_api', u'title': u'Cats', u'printType': u'BOOK', u'pageCount': 48, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'1403476985', u'type': u'ISBN_10'}, {u'identifier': u'9781403476982', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=mA7__e34MGwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=mA7__e34MGwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Louise Spilsbury', u'Richard Spilsbury'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=mA7__e34MGwC&dq=cats&hl=&source=gbs_api', u'categories': [u'Juvenile Nonfiction'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Cats.html?hl=&id=mA7__e34MGwC'}","{u'textSnippet': u'Provides information about cat breeds, physical characteristics, and behavior, and describes how to care for a cat as a pet.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",HIBcTjLXCiM,"{u'webReaderLink': u'http://play.google.com/books/reader?id=mA7__e34MGwC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",mA7__e34MGwC,https://www.googleapis.com/books/v1/volumes/mA7__e34MGwC
books#volume,"{u'publisher': u'Heinemann/Raintree', u'description': u'A simple introduction to choosing and caring for a cat.', u'language': u'en', u'publishedDate': u'1999-01-01', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=vSoUV4dXz-EC&q=cats&dq=cats&hl=&cd=2&source=gbs_api', u'title': u'Cats', u'printType': u'BOOK', u'pageCount': 24, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'1575724774', u'type': u'ISBN_10'}, {u'identifier': u'9781575724775', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=vSoUV4dXz-EC&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=vSoUV4dXz-EC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Michaela Miller'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=vSoUV4dXz-EC&dq=cats&hl=&source=gbs_api', u'categories': [u'Juvenile Nonfiction'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Cats.html?hl=&id=vSoUV4dXz-EC'}",{u'textSnippet': u'A simple introduction to choosing and caring for a cat.'},"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",2XOuL/ZtlGA,"{u'webReaderLink': u'http://play.google.com/books/reader?id=vSoUV4dXz-EC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",vSoUV4dXz-EC,https://www.googleapis.com/books/v1/volumes/vSoUV4dXz-EC
books#volume,"{u'publisher': u'Houghton Mifflin Harcourt', u'description': u'T. S. Eliot\'s playful cat poems were originally composed for his godchildren, with Eliot posing as Old Possum himself, and later inspired the legendary musical ""Cats."" Now with vibrant illustrations by the award-winning Axel Scheffler.', u'language': u'en', u'publishedDate': u'2009', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=QZxIVzBljYIC&printsec=frontcover&dq=cats&hl=&cd=3&source=gbs_api', u'title': u""Old Possum's Book of Practical Cats"", u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/Old_Possum_s_Book_of_Practical_Cats.html?hl=&id=QZxIVzBljYIC', u'pageCount': 64, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'2.0.0.0.preview.1', u'industryIdentifiers': [{u'identifier': u'054724827X', u'type': u'ISBN_10'}, {u'identifier': u'9780547248271', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=QZxIVzBljYIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=QZxIVzBljYIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Thomas Stearns Eliot', u'Axel Scheffler'], u'ratingsCount': 29, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=QZxIVzBljYIC&dq=cats&hl=&source=gbs_api', u'categories': [u'Juvenile Nonfiction'], u'averageRating': 4.0}","{u'textSnippet': u'T. S. Eliot&#39;s playful cat poems were originally composed for his godchildren, with Eliot posing as Old Possum himself, and later inspired the legendary musical &quot;Cats.&quot; Now with vibrant illustrations by the award-winning Axel Scheffler.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",r9r1I+DX6vc,"{u'webReaderLink': u'http://play.google.com/books/reader?id=QZxIVzBljYIC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/Old_Possum_s_Book_of_Practical_Cats-sample-pdf.acsm?id=QZxIVzBljYIC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",QZxIVzBljYIC,https://www.googleapis.com/books/v1/volumes/QZxIVzBljYIC
books#volume,"{u'publisher': u'Heinemann-Raintree Library', u'description': u'Provides basic instructions for keeping cats as pets, including feeding, exercising, and providing a healthy environment.', u'language': u'en', u'publishedDate': u'2009', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=pLXws-79L5YC&printsec=frontcover&dq=cats&hl=&cd=4&source=gbs_api', u'title': u'Cats', u'printType': u'BOOK', u'pageCount': 32, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'1432933892', u'type': u'ISBN_10'}, {u'identifier': u'9781432933890', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=pLXws-79L5YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=pLXws-79L5YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Anita Ganeri'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=pLXws-79L5YC&dq=cats&hl=&source=gbs_api', u'categories': [u'Juvenile Nonfiction'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Cats.html?hl=&id=pLXws-79L5YC'}","{u'textSnippet': u'Provides basic instructions for keeping cats as pets, including feeding, exercising, and providing a healthy environment.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",DhAsojWBRQA,"{u'webReaderLink': u'http://play.google.com/books/reader?id=pLXws-79L5YC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",pLXws-79L5YC,https://www.googleapis.com/books/v1/volumes/pLXws-79L5YC
books#volume,"{u'subtitle': u'From the Creators of the International Best Seller Why Cats Paint', u'pageCount': 96, u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}, u'previewLink': u'http://books.google.com/books?id=56vzAgAAQBAJ&printsec=frontcover&dq=cats&hl=&cd=5&source=gbs_api', u'contentVersion': u'1.1.1.0.preview.3', u'industryIdentifiers': [{u'identifier': u'9781452141435', u'type': u'ISBN_13'}, {u'identifier': u'1452141436', u'type': u'ISBN_10'}], u'canonicalVolumeLink': u'https://market.android.com/details?id=book-56vzAgAAQBAJ', u'description': u'The cult classic is back! This 15th anniversary edition keeps all the original mystery and magic of cat dancing delightfully intact. Perpetually ahead of its time, Dancing with Cats presents scores of delightful and inspiring photographs of people and cats engaging in their favorite dance routines as well as moving testimonies of the personal transformations brought about through this uniquely joyous form of human-animal connection. Dancing with Cats will have a new generation of cat lovers (and their cats) jumping for joy\u2014and cutting a rug\u2014in no time.', u'publishedDate': u'2014-03-18', u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=56vzAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=56vzAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Burton Silver'], u'categories': [u'Performing Arts'], u'publisher': u'Chronicle Books', u'language': u'en', u'readingModes': {u'text': True, u'image': True}, u'allowAnonLogging': False, u'title': u'Dancing with Cats', u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'averageRating': 3.5, u'infoLink': u'https://play.google.com/store/books/details?id=56vzAgAAQBAJ&source=gbs_api', u'ratingsCount': 4}",{u'textSnippet': u'The cult classic is back! This 15th anniversary edition keeps all the original mystery and magic of cat dancing delightfully intact.'},"{u'country': u'US', u'retailPrice': {u'amount': 9.59, u'currencyCode': u'USD'}, u'isEbook': True, u'offers': [{u'retailPrice': {u'currencyCode': u'USD', u'amountInMicros': 9590000.0}, u'giftable': True, u'listPrice': {u'currencyCode': u'USD', u'amountInMicros': 11990000.0}, u'finskyOfferType': 1}], u'saleability': u'FOR_SALE', u'buyLink': u'https://play.google.com/store/books/details?id=56vzAgAAQBAJ&rdid=book-56vzAgAAQBAJ&rdot=1&source=gbs_api', u'listPrice': {u'amount': 11.99, u'currencyCode': u'USD'}}",s0tlJWnlkq8,"{u'webReaderLink': u'http://play.google.com/books/reader?id=56vzAgAAQBAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED_FOR_ACCESSIBILITY', u'pdf': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/Dancing_with_Cats-sample-pdf.acsm?id=56vzAgAAQBAJ&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/Dancing_with_Cats-sample-epub.acsm?id=56vzAgAAQBAJ&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'accessViewStatus': u'SAMPLE'}",56vzAgAAQBAJ,https://www.googleapis.com/books/v1/volumes/56vzAgAAQBAJ
books#volume,"{u'publisher': u'Workman Publishing', u'description': u'Presents photographs of mischievous kittens and cats, along with quotations describing the intentions and attitudes of the feline subjects.', u'language': u'en', u'publishedDate': u'2004', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=74TaXzteRdQC&printsec=frontcover&dq=cats&hl=&cd=6&source=gbs_api', u'title': u'Bad Cat', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/Bad_Cat.html?hl=&id=74TaXzteRdQC', u'pageCount': 246, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'1.0.0.0.preview.1', u'industryIdentifiers': [{u'identifier': u'0761136193', u'type': u'ISBN_10'}, {u'identifier': u'9780761136194', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=74TaXzteRdQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=74TaXzteRdQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Jim Edgar', u'James Jennings Edgar'], u'ratingsCount': 14, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=74TaXzteRdQC&dq=cats&hl=&source=gbs_api', u'categories': [u'Humor'], u'averageRating': 3.5}","{u'textSnippet': u'Presents photographs of mischievous kittens and cats, along with quotations describing the intentions and attitudes of the feline subjects.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",TCSBPVq4RnI,"{u'webReaderLink': u'http://play.google.com/books/reader?id=74TaXzteRdQC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED_FOR_ACCESSIBILITY', u'pdf': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/Bad_Cat-sample-pdf.acsm?id=74TaXzteRdQC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",74TaXzteRdQC,https://www.googleapis.com/books/v1/volumes/74TaXzteRdQC
books#volume,"{u'publisher': u'Chronicle Books', u'description': u""Captain's log: We have entered a galaxy where beloved illustrator Jenny Parks has conjured an astonishingly vivid homage to the original Star Trek series with an unexpected twist: a cast of cats. Featuring a hilarious new take on iconic characters and scenes\u2014from Kirk in the Captain's chair to Spock offering his Vulcan wisdom\u2014this eye-opening adventure stays true to the tone of the classic TV show. Playful, loving, and from a strange new world, Star Trek Cats is the perfect gift for fans of, well, Star Trek and cats."", u'language': u'en', u'publishedDate': u'2017-02-28', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=AbGHDQAAQBAJ&printsec=frontcover&dq=cats&hl=&cd=7&source=gbs_api', u'title': u'Star Trek Cats', u'printType': u'BOOK', u'pageCount': 64, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'1.1.1.0.preview.1', u'industryIdentifiers': [{u'identifier': u'9781452158822', u'type': u'ISBN_13'}, {u'identifier': u'1452158827', u'type': u'ISBN_10'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=AbGHDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=AbGHDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Jenny Parks'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Star_Trek_Cats.html?hl=&id=AbGHDQAAQBAJ', u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=AbGHDQAAQBAJ&dq=cats&hl=&source=gbs_api', u'categories': [u'Performing Arts'], u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}}",{u'textSnippet': u'Captain&#39;s log: We have entered a galaxy where beloved illustrator Jenny Parks has conjured an astonishingly vivid homage to the original Star Trek series with an unexpected twist: a cast of cats.'},"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",cSC/zRWV+c0,"{u'webReaderLink': u'http://play.google.com/books/reader?id=AbGHDQAAQBAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED_FOR_ACCESSIBILITY', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",AbGHDQAAQBAJ,https://www.googleapis.com/books/v1/volumes/AbGHDQAAQBAJ
books#volume,"{u'publisher': u'Checkerboard Library', u'description': u'Suggests what to consider in choosing a cat for a pet; then offers advice on how to understand, train, feed, and generally care for this amazing creature.', u'language': u'en', u'publishedDate': u'1997', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=TZjE-KKPwgkC&q=cats&dq=cats&hl=&cd=8&source=gbs_api', u'title': u'Cats', u'printType': u'BOOK', u'pageCount': 31, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'156239780X', u'type': u'ISBN_10'}, {u'identifier': u'9781562397807', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=TZjE-KKPwgkC&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=TZjE-KKPwgkC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Ann Larkin Hansen'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=TZjE-KKPwgkC&dq=cats&hl=&source=gbs_api', u'categories': [u'Juvenile Nonfiction'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Cats.html?hl=&id=TZjE-KKPwgkC'}","{u'textSnippet': u'Suggests what to consider in choosing a cat for a pet; then offers advice on how to understand, train, feed, and generally care for this amazing creature.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",FS0yB2M1gA0,"{u'webReaderLink': u'http://play.google.com/books/reader?id=TZjE-KKPwgkC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",TZjE-KKPwgkC,https://www.googleapis.com/books/v1/volumes/TZjE-KKPwgkC
books#volume,"{u'language': u'en', u'publishedDate': u'1983', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=kU9cJ7zWniYC&q=cats&dq=cats&hl=&cd=9&source=gbs_api', u'pageCount': 64, u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'0861240936', u'type': u'ISBN_10'}, {u'identifier': u'9780861240937', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=kU9cJ7zWniYC&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=kU9cJ7zWniYC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Judith A. Steeh'], u'title': u'Cats', u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=kU9cJ7zWniYC&dq=cats&hl=&source=gbs_api', u'categories': [u'Cats'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Cats.html?hl=&id=kU9cJ7zWniYC'}",,"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",WPEhaMP9++E,"{u'webReaderLink': u'http://play.google.com/books/reader?id=kU9cJ7zWniYC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",kU9cJ7zWniYC,https://www.googleapis.com/books/v1/volumes/kU9cJ7zWniYC
books#volume,"{u'publisher': u'Random House Books for Young Readers', u'subtitle': u'All about Cats', u'description': u'Traveling aboard his Kitty-Cat-Copter, the Cat takes Sally and Nick to meet lions in Kenya, tigers in Bangkok, Siamese down the blockNlearning along the way those traits that all cats, wild and domestic, share. Includes information about the anatomy and behavior of well-known species and breeds. Full color.', u'language': u'en', u'publishedDate': u'2013', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=9W2EAAAAQBAJ&printsec=frontcover&dq=cats&hl=&cd=10&source=gbs_api', u'title': u'What Cat is That?', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/What_Cat_is_That.html?hl=&id=9W2EAAAAQBAJ', u'pageCount': 45, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'9780375866401', u'type': u'ISBN_13'}, {u'identifier': u'037586640X', u'type': u'ISBN_10'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=9W2EAAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=9W2EAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Tish Rabe', u'Aristides Ruiz', u'Joe Mathieu'], u'ratingsCount': 1, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=9W2EAAAAQBAJ&dq=cats&hl=&source=gbs_api', u'categories': [u'Juvenile Nonfiction'], u'averageRating': 4.0}","{u'textSnippet': u'Traveling aboard his Kitty-Cat-Copter, the Cat takes Sally and Nick to meet lions in Kenya, tigers in Bangkok, Siamese down the blockNlearning along the way those traits that all cats, wild and domestic, share.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",4HoalbOB0PY,"{u'webReaderLink': u'http://play.google.com/books/reader?id=9W2EAAAAQBAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED_FOR_ACCESSIBILITY', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",9W2EAAAAQBAJ,https://www.googleapis.com/books/v1/volumes/9W2EAAAAQBAJ
