kind,volumeInfo,searchInfo,saleInfo,etag,accessInfo,id,selfLink
books#volume,"{u'publisher': u'Tuttle Publishing', u'description': u'Bloody battles and ruthless intrigue come alive in this classic of military history! Pulsating with energy and adventure, Major William Thorn\'s ""The Conquest of Java describes the British Invasion of Java in 1811. Scholars of warfare and Southeast Asian history will marvel at the detailed descriptions of everything from Batavia\'s fish market to herbal antidotes for poisonous dagger wounds.', u'language': u'en', u'publishedDate': '1815-05-16 00:00:00', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=7ODoBCuuE0IC&dq=java&hl=&cd=174&source=gbs_api', u'title': u'The Conquest of Java', u'printType': u'BOOK', u'pageCount': 369, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'2.1.0.0.preview.0', u'industryIdentifiers': [{u'identifier': u'0794600735', u'type': u'ISBN_10'}, {u'identifier': u'9780794600730', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=7ODoBCuuE0IC&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=7ODoBCuuE0IC&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Sir William Thorn', u'William Thorn'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=7ODoBCuuE0IC&dq=java&hl=&source=gbs_api', u'categories': [u'History'], u'canonicalVolumeLink': u'https://books.google.com/books/about/The_Conquest_of_Java.html?hl=&id=7ODoBCuuE0IC'}","{u'textSnippet': u'Bloody battles and ruthless intrigue come alive in this classic of military history! Pulsating with energy and adventure, Major William Thorn&#39;s &quot;The Conquest of Java describes the British Invasion of Java in 1811.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",hs8pY7u7awc,"{u'webReaderLink': u'http://play.google.com/books/reader?id=7ODoBCuuE0IC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",7ODoBCuuE0IC,https://www.googleapis.com/books/v1/volumes/7ODoBCuuE0IC
books#volume,"{u'language': u'en', u'publishedDate': '1817-05-16 00:00:00', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=_-dCAAAAcAAJ&printsec=frontcover&dq=java&hl=&cd=30&source=gbs_api', u'pageCount': 4, u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'contentVersion': u'1.0.0.0.full.1', u'industryIdentifiers': [{u'identifier': u'BSB:BSB10359645', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=_-dCAAAAcAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=_-dCAAAAcAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Thomas Stamford Raffles'], u'title': u'The History of Java', u'allowAnonLogging': False, u'infoLink': u'https://play.google.com/store/books/details?id=_-dCAAAAcAAJ&source=gbs_api', u'canonicalVolumeLink': u'https://market.android.com/details?id=book-_-dCAAAAcAAJ'}",,"{u'country': u'US', u'buyLink': u'https://play.google.com/store/books/details?id=_-dCAAAAcAAJ&rdid=book-_-dCAAAAcAAJ&rdot=1&source=gbs_api', u'saleability': u'FREE', u'isEbook': True}",1VybVjRL5xw,"{u'webReaderLink': u'http://play.google.com/books/reader?id=_-dCAAAAcAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': True, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': True, u'downloadLink': u'http://books.google.com/books/download/The_History_of_Java.pdf?id=_-dCAAAAcAAJ&hl=&output=pdf&sig=ACfU3U1MkX6cfAv0cSd5WEkjxRpS4Jat4g&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'ALL_PAGES', u'epub': {u'isAvailable': False, u'downloadLink': u'http://books.google.com/books/download/The_History_of_Java.epub?id=_-dCAAAAcAAJ&hl=&output=epub&source=gbs_api'}, u'accessViewStatus': u'FULL_PUBLIC_DOMAIN'}",_-dCAAAAcAAJ,https://www.googleapis.com/books/v1/volumes/_-dCAAAAcAAJ
books#volume,"{u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}, u'language': u'en', u'publishedDate': '1824-05-16 00:00:00', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=YmxJAAAAYAAJ&printsec=frontcover&dq=java&hl=&cd=18&source=gbs_api', u'pageCount': 328, u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'contentVersion': u'0.1.1.0.full.1', u'industryIdentifiers': [{u'identifier': u'NYPL:33433011575929', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=YmxJAAAAYAAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=YmxJAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Thomas Horsfield'], u'title': u'Zoological Researches in Java, and the Neighbouring Islands', u'allowAnonLogging': False, u'infoLink': u'https://play.google.com/store/books/details?id=YmxJAAAAYAAJ&source=gbs_api', u'categories': [u'Zoology'], u'canonicalVolumeLink': u'https://market.android.com/details?id=book-YmxJAAAAYAAJ'}",,"{u'country': u'US', u'buyLink': u'https://play.google.com/store/books/details?id=YmxJAAAAYAAJ&rdid=book-YmxJAAAAYAAJ&rdot=1&source=gbs_api', u'saleability': u'FREE', u'isEbook': True}",I5edW2HbBlY,"{u'webReaderLink': u'http://play.google.com/books/reader?id=YmxJAAAAYAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': True, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': True, u'downloadLink': u'http://books.google.com/books/download/Zoological_Researches_in_Java_and_the_Ne.pdf?id=YmxJAAAAYAAJ&hl=&output=pdf&sig=ACfU3U26U_WnxCvL_d9yecuaKFuqlXMBmg&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'ALL_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'FULL_PUBLIC_DOMAIN'}",YmxJAAAAYAAJ,https://www.googleapis.com/books/v1/volumes/YmxJAAAAYAAJ
books#volume,"{u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}, u'language': u'en', u'publishedDate': '1830-05-16 00:00:00', u'readingModes': {u'text': True, u'image': True}, u'previewLink': u'http://books.google.com/books?id=gJEC2q7DzpQC&printsec=frontcover&dq=java&hl=&cd=5&source=gbs_api', u'pageCount': 868, u'printType': u'BOOK', u'canonicalVolumeLink': u'https://market.android.com/details?id=book-gJEC2q7DzpQC', u'maturityRating': u'NOT_MATURE', u'contentVersion': u'0.2.3.0.full.3', u'industryIdentifiers': [{u'identifier': u'HARVARD:32044021066998', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=gJEC2q7DzpQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=gJEC2q7DzpQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Sir Thomas Stamford Raffles'], u'title': u'The History of Java', u'ratingsCount': 2, u'allowAnonLogging': False, u'infoLink': u'https://play.google.com/store/books/details?id=gJEC2q7DzpQC&source=gbs_api', u'categories': [u'Java (Indonesia)'], u'averageRating': 5.0}",,"{u'country': u'US', u'buyLink': u'https://play.google.com/store/books/details?id=gJEC2q7DzpQC&rdid=book-gJEC2q7DzpQC&rdot=1&source=gbs_api', u'saleability': u'FREE', u'isEbook': True}",PaG6r9WnapY,"{u'webReaderLink': u'http://play.google.com/books/reader?id=gJEC2q7DzpQC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': True, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': True, u'downloadLink': u'http://books.google.com/books/download/The_History_of_Java.pdf?id=gJEC2q7DzpQC&hl=&output=pdf&sig=ACfU3U1FeZs0WwTQ2Z_X_IqhvzCelUN01A&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'ALL_PAGES', u'epub': {u'isAvailable': True, u'downloadLink': u'http://books.google.com/books/download/The_History_of_Java.epub?id=gJEC2q7DzpQC&hl=&output=epub&source=gbs_api'}, u'accessViewStatus': u'FULL_PUBLIC_DOMAIN'}",gJEC2q7DzpQC,https://www.googleapis.com/books/v1/volumes/gJEC2q7DzpQC
books#volume,"{u'subtitle': u'Impressions from the 1930s', u'language': u'en', u'publishedDate': '1934-05-16 00:00:00', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=IAFWAAAAYAAJ&q=java&dq=java&hl=&cd=69&source=gbs_api', u'title': u'Java Pageant', u'printType': u'BOOK', u'pageCount': 304, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'UVA:X001809478', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=IAFWAAAAYAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=IAFWAAAAYAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'H. W. Ponder'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=IAFWAAAAYAAJ&dq=java&hl=&source=gbs_api', u'categories': [u'Java (Indonesia)'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Java_Pageant.html?hl=&id=IAFWAAAAYAAJ'}",,"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",40QUq+FYZEI,"{u'webReaderLink': u'http://play.google.com/books/reader?id=IAFWAAAAYAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",IAFWAAAAYAAJ,https://www.googleapis.com/books/v1/volumes/IAFWAAAAYAAJ
books#volume,"{u'language': u'en', u'publishedDate': '1969-05-16 00:00:00', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=mXceAAAAMAAJ&q=java&dq=java&hl=&cd=26&source=gbs_api', u'pageCount': 298, u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'UOM:39015008593660', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=mXceAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=mXceAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Eliot Elisofon'], u'title': u'Java Diary', u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=mXceAAAAMAAJ&dq=java&hl=&source=gbs_api', u'categories': [u'Java (Indonesia)'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Java_Diary.html?hl=&id=mXceAAAAMAAJ'}",,"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",26fdhl9HkiQ,"{u'webReaderLink': u'http://play.google.com/books/reader?id=mXceAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",mXceAAAAMAAJ,https://www.googleapis.com/books/v1/volumes/mXceAAAAMAAJ
books#volume,"{u'publisher': u'Calcutta : Firma K. L. Mukhopadhyay', u'subtitle': u'Corpus Inscriptionum Javanicarum : Up to 928 A.D.', u'language': u'en', u'publishedDate': '1971-05-16 00:00:00', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=5U9mAAAAMAAJ&q=java&dq=java&hl=&cd=115&source=gbs_api', u'title': u'Corpus of the Inscriptions of Java', u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'contentVersion': u'0.1.1.0.preview.0', u'industryIdentifiers': [{u'identifier': u'UOM:39015010866369', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=5U9mAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=5U9mAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Himansu Bhusan Sarkar'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=5U9mAAAAMAAJ&dq=java&hl=&source=gbs_api', u'categories': [u'Inscriptions, Indonesian'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Corpus_of_the_Inscriptions_of_Java.html?hl=&id=5U9mAAAAMAAJ'}",,"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",bO92c2Z8s2I,"{u'webReaderLink': u'http://play.google.com/books/reader?id=5U9mAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",5U9mAAAAMAAJ,https://www.googleapis.com/books/v1/volumes/5U9mAAAAMAAJ
books#volume,"{u'publisher': u'University of Chicago Press', u'description': u'Written with a rare combination of analysis and speculation, this comprehensive study of Javanese religion is one of the few books on the religion of a non-Western people which emphasizes variation and conflict in belief as well as similarity and harmony. The reader becomes aware of the intricacy and depth of Javanese spiritual life and the problems of political and social integration reflected in the religion. The Religion of Java will interest specialists in Southeast Asia, anthropologists and sociologists concerned with the social analysis of religious belief and ideology, students of comparative religion, and civil servants dealing with governmental policy toward Indonesia and Southeast Asia.', u'language': u'en', u'publishedDate': '1976-02-15 00:00:00', u'readingModes': {u'text': True, u'image': True}, u'previewLink': u'http://books.google.com/books?id=-SYM4PW-YAgC&printsec=frontcover&dq=java&hl=&cd=2&source=gbs_api', u'title': u'The Religion of Java', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/The_Religion_of_Java.html?hl=&id=-SYM4PW-YAgC', u'pageCount': 392, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'2.1.2.0.preview.3', u'industryIdentifiers': [{u'identifier': u'0226285103', u'type': u'ISBN_10'}, {u'identifier': u'9780226285108', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=-SYM4PW-YAgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=-SYM4PW-YAgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Clifford Geertz'], u'ratingsCount': 4, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=-SYM4PW-YAgC&dq=java&hl=&source=gbs_api', u'categories': [u'Religion'], u'averageRating': 4.0}","{u'textSnippet': u'Written with a rare combination of analysis and speculation, this comprehensive study of Javanese religion is one of the few books on the religion of a non-Western people which emphasizes variation and conflict in belief as well as ...'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",dVzKX5EfcjA,"{u'webReaderLink': u'http://play.google.com/books/reader?id=-SYM4PW-YAgC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/The_Religion_of_Java-sample-epub.acsm?id=-SYM4PW-YAgC&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'accessViewStatus': u'SAMPLE'}",-SYM4PW-YAgC,https://www.googleapis.com/books/v1/volumes/-SYM4PW-YAgC
books#volume,"{u'language': u'en', u'publishedDate': '1986-05-16 00:00:00', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=p-DVAAAAMAAJ&q=java&dq=java&hl=&cd=117&source=gbs_api', u'pageCount': 100, u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'UOM:39015011504233', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=p-DVAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=p-DVAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Jacques Dumar\xe7ay', u'Michael Smithies'], u'title': u'The temples of Java', u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=p-DVAAAAMAAJ&dq=java&hl=&source=gbs_api', u'categories': [u'Architecture'], u'canonicalVolumeLink': u'https://books.google.com/books/about/The_temples_of_Java.html?hl=&id=p-DVAAAAMAAJ'}",,"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",PJMSFpeFoj4,"{u'webReaderLink': u'http://play.google.com/books/reader?id=p-DVAAAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",p-DVAAAAMAAJ,https://www.googleapis.com/books/v1/volumes/p-DVAAAAMAAJ
books#volume,"{u'publisher': u'Royal Botanic Gardens Kew', u'description': u'130 genera are listed, 731 species described and more than 700 illustrated with colour photographs.', u'language': u'en', u'publishedDate': '1990-01-01 00:00:00', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=xBslAQAAMAAJ&q=java&dq=java&hl=&cd=106&source=gbs_api', u'title': u'Orchids of Java', u'printType': u'BOOK', u'pageCount': 407, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'0.1.1.0.preview.0', u'industryIdentifiers': [{u'identifier': u'UOM:39015022247533', u'type': u'OTHER'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=xBslAQAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=xBslAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'J. B. Comber'], u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=xBslAQAAMAAJ&dq=java&hl=&source=gbs_api', u'categories': [u'Botany'], u'canonicalVolumeLink': u'https://books.google.com/books/about/Orchids_of_Java.html?hl=&id=xBslAQAAMAAJ'}","{u'textSnippet': u'130 genera are listed, 731 species described and more than 700 illustrated with colour photographs.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",vcg19kH8xGA,"{u'webReaderLink': u'http://play.google.com/books/reader?id=xBslAQAAMAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",xBslAQAAMAAJ,https://www.googleapis.com/books/v1/volumes/xBslAQAAMAAJ
