kind,volumeInfo,searchInfo,saleInfo,etag,accessInfo,id,selfLink
books#volume,"{u'publisher': u'Oxford University Press', u'description': u""Series blurb: The Ecology of Indonesia series explores one of the most biologically diverse areas of the world, incorporating current research from Western and Indonesian specialists. Each book describes in detail, Indonesia's fragile ecosystems, its unparalled biodiversity, its peoples andtheir use of natural resources, and the ecological problems which have resulted from rapid economic development."", u'language': u'en', u'publishedDate': u'1996', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=_pIcG_aZGjsC&printsec=frontcover&dq=java&hl=&cd=4&source=gbs_api', u'title': u'Ecology of Java & Bali', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/Ecology_of_Java_Bali.html?hl=&id=_pIcG_aZGjsC', u'pageCount': 969, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'9625930728', u'type': u'ISBN_10'}, {u'identifier': u'9789625930725', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=_pIcG_aZGjsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=_pIcG_aZGjsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Tony Whitten', u'Roehayat Emon Soeriaatmadja', u'Suraya A. Afiff'], u'ratingsCount': 1, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=_pIcG_aZGjsC&dq=java&hl=&source=gbs_api', u'categories': [u'History'], u'averageRating': 1.0}","{u'textSnippet': u'Series blurb: The Ecology of Indonesia series explores one of the most biologically diverse areas of the world, incorporating current research from Western and Indonesian specialists.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",pakWRFYHYmM,"{u'webReaderLink': u'http://play.google.com/books/reader?id=_pIcG_aZGjsC&hl=&printsec=frontcover&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",_pIcG_aZGjsC,https://www.googleapis.com/books/v1/volumes/_pIcG_aZGjsC
books#volume,"{u'subtitle': u'The Art, Philosophy, and Science of Object-oriented Programming', u'pageCount': 800, u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}, u'previewLink': u'http://books.google.com/books?id=AcI6_aBD17sC&printsec=frontcover&dq=java&hl=&cd=19&source=gbs_api', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'9781932504057', u'type': u'ISBN_13'}, {u'identifier': u'1932504052', u'type': u'ISBN_10'}], u'canonicalVolumeLink': u'https://market.android.com/details?id=book-AcI6_aBD17sC', u'description': u'Java For Artists: The Art, Philosophy, and Science of Object-Oriented Programming is a Java programming language text/tradebook that targets beginner and intermediate Java programmers.', u'publishedDate': u'2006', u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=AcI6_aBD17sC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=AcI6_aBD17sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Rick Miller', u'Raffi Kasparian'], u'categories': [u'Computers'], u'publisher': u'Pulp Free Press', u'language': u'en', u'readingModes': {u'text': False, u'image': True}, u'allowAnonLogging': True, u'title': u'Java for Artists', u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'averageRating': 5.0, u'infoLink': u'https://play.google.com/store/books/details?id=AcI6_aBD17sC&source=gbs_api', u'ratingsCount': 1}","{u'textSnippet': u'Java For Artists: The Art, Philosophy, and Science of Object-Oriented Programming is a Java programming language text/tradebook that targets beginner and intermediate Java programmers.'}","{u'country': u'US', u'retailPrice': {u'amount': 3.85, u'currencyCode': u'USD'}, u'isEbook': True, u'offers': [{u'retailPrice': {u'currencyCode': u'USD', u'amountInMicros': 3850000.0}, u'giftable': True, u'listPrice': {u'currencyCode': u'USD', u'amountInMicros': 5000000.0}, u'finskyOfferType': 1}], u'saleability': u'FOR_SALE', u'buyLink': u'https://play.google.com/store/books/details?id=AcI6_aBD17sC&rdid=book-AcI6_aBD17sC&rdot=1&source=gbs_api', u'listPrice': {u'amount': 5.0, u'currencyCode': u'USD'}}",cm/DiLDo2cI,"{u'webReaderLink': u'http://play.google.com/books/reader?id=AcI6_aBD17sC&hl=&printsec=frontcover&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/Java_for_Artists-sample-pdf.acsm?id=AcI6_aBD17sC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'ALL_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",AcI6_aBD17sC,https://www.googleapis.com/books/v1/volumes/AcI6_aBD17sC
books#volume,"{u'publisher': u'Prentice Hall Professional', u'description': u""Two Sun Microsystems experts bring together today's best pattern-based techniques and demonstrate pattern use for a variety of business systems. This practical guide features proven techniques for all types of patterns, from system architecture to single classes."", u'language': u'en', u'publishedDate': u'2002', u'readingModes': {u'text': True, u'image': True}, u'previewLink': u'http://books.google.com/books?id=3kCw05_yNTIC&printsec=frontcover&dq=java&hl=&cd=23&source=gbs_api', u'title': u'Applied Java Patterns', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/Applied_Java_Patterns.html?hl=&id=3kCw05_yNTIC', u'pageCount': 574, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'0.1.2.0.preview.3', u'industryIdentifiers': [{u'identifier': u'0130935387', u'type': u'ISBN_10'}, {u'identifier': u'9780130935380', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=3kCw05_yNTIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=3kCw05_yNTIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Stephen Stelting', u'Olav Maassen'], u'ratingsCount': 1, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=3kCw05_yNTIC&dq=java&hl=&source=gbs_api', u'categories': [u'Computers'], u'averageRating': 5.0}","{u'textSnippet': u'This practical guide features proven techniques for all types of patterns, from system architecture to single classes After briefly reviewing the fundamentals of design patterns, the authors describe how these patterns can be applied ...'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",imyTNIkcuVk,"{u'webReaderLink': u'http://play.google.com/books/reader?id=3kCw05_yNTIC&hl=&printsec=frontcover&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED_FOR_ACCESSIBILITY', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",3kCw05_yNTIC,https://www.googleapis.com/books/v1/volumes/3kCw05_yNTIC
books#volume,"{u'publisher': u'Butterworth-Heinemann', u'description': u""Object-Oriented Design with UML and Java provides an integrated introduction to object-oriented design with the Unified Modelling Language (UML) and the Java programming language. The book demonstrates how Java applications, no matter how small, can benefit from some design during their construction. Fully road-tested by students on the authors' own courses, the book shows how these complementary technologies can be used effectively to create quality software. It requires no prior knowledge of object orientation, though readers must have some experience of Java or other high level programming language. This book covers object technology; object-oriented analysis and design; and implementation of objects with Java. It includes two case studies dealing with library applications. The UML has been incorporated into a graphical design tool called ROME, which can be downloaded from the book's website. This object modelling environment allows readers to prepare and edit various UML diagrams. ROME can be used alongside a Java compiler to generate Java code from a UML class diagram then compile and run the resulting application for hands-on learning. This text would be a valuable resource for undergraduate students taking courses on O-O analysis and design, O-O modelling, Java programming, and modelling with UML. * Integrates design and implementation, using Java and UML * Includes case studies and exercises * Bridges the gap between programming texts and high level analysis books on design"", u'language': u'en', u'publishedDate': u'2003-12-17', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=8lBYrBKatRMC&printsec=frontcover&dq=java&hl=&cd=34&source=gbs_api', u'infoLink': u'https://play.google.com/store/books/details?id=8lBYrBKatRMC&source=gbs_api', u'title': u'Object-Oriented Design with UML and Java', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://market.android.com/details?id=book-8lBYrBKatRMC', u'pageCount': 428, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'1.2.0.0.preview.1', u'industryIdentifiers': [{u'identifier': u'9780080497556', u'type': u'ISBN_13'}, {u'identifier': u'0080497551', u'type': u'ISBN_10'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=8lBYrBKatRMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=8lBYrBKatRMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Kenneth Barclay', u'John Savage'], u'ratingsCount': 1, u'allowAnonLogging': True, u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}, u'categories': [u'Computers'], u'averageRating': 5.0}","{u'textSnippet': u'Fully road tested from the authors own courses, Object-Oriented Design with UML and Java shows how considering the modeling and programming languages together from the start can be beneficial, shifting the emphasis away from detailed ...'}","{u'country': u'US', u'retailPrice': {u'amount': 43.41, u'currencyCode': u'USD'}, u'isEbook': True, u'offers': [{u'retailPrice': {u'currencyCode': u'USD', u'amountInMicros': 43410000.0}, u'giftable': True, u'listPrice': {u'currencyCode': u'USD', u'amountInMicros': 54950000.0}, u'finskyOfferType': 1}, {u'rentalDuration': {u'count': 90.0, u'unit': u'DAY'}, u'retailPrice': {u'currencyCode': u'USD', u'amountInMicros': 27800000.0}, u'listPrice': {u'currencyCode': u'USD', u'amountInMicros': 30220000.0}, u'finskyOfferType': 3}], u'saleability': u'FOR_SALE_AND_RENTAL', u'buyLink': u'https://play.google.com/store/books/details?id=8lBYrBKatRMC&rdid=book-8lBYrBKatRMC&rdot=1&source=gbs_api', u'listPrice': {u'amount': 54.95, u'currencyCode': u'USD'}}",LlgKlgtHsxU,"{u'webReaderLink': u'http://play.google.com/books/reader?id=8lBYrBKatRMC&hl=&printsec=frontcover&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/Object_Oriented_Design_with_UML_and_Java-sample-pdf.acsm?id=8lBYrBKatRMC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",8lBYrBKatRMC,https://www.googleapis.com/books/v1/volumes/8lBYrBKatRMC
books#volume,"{u'subtitle': u'Teachings of an Authentic Taoist Immortal', u'pageCount': 224, u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}, u'previewLink': u'http://books.google.com/books?id=t4qmnRLiliIC&printsec=frontcover&dq=java&hl=&cd=35&source=gbs_api', u'contentVersion': u'0.0.2.0.preview.2', u'industryIdentifiers': [{u'identifier': u'9781594778773', u'type': u'ISBN_13'}, {u'identifier': u'1594778779', u'type': u'ISBN_10'}], u'canonicalVolumeLink': u'https://market.android.com/details?id=book-t4qmnRLiliIC', u'description': u""The story of John Chang, the first man to be documented performing pyrokinesis, telekinesis, levitation, telepathy, and other paranormal abilities. \u2022 The author, a mechanical engineer, provides scientific explanations of how these powers work. \u2022 For the first time, the discipline of Mo-Pai is introduced to the West. In 1988 the documentary Ring of Fire was released to great acclaim. The most startling sequence in the film is that of a Chinese-Javanese acupuncturist who demonstrates his full mastery of the phenomenon of chi, or bio-energy, by generating an electrical current within his body, which he uses first to heal the filmmaker of an eye infection and then to set a newspaper on fire with his hand. Ring of Fire caused thousands to seek out this individual, John Chang, in pursuit of instruction. Of the many Westerners who have approached him, John Chang has accepted five as apprentices. Kosta Danaos is the second of those five. In his years of study with John Chang, Danaos has witnessed and experienced pyrokinesis, telekinesis, levitation, telepathy, and much more exotic phenomena. He has spoken with spirits and learned the secrets of reincarnation. Most important, he has learned John Chang's story. John Chang is the direct heir to the lineage of the sixth-century b.c. sage Mo-Tzu, who was Confucius's greatest rival. His discipline, called the Mo-Pai, is little-known in the West and has never before been the subject of a book. Now, John Chang has decided to bridge the gap between East and West by allowing a book to be published revealing the story of his life, his teachings, and his powers. It will surely expedite what may well become the greatest revolution of the twenty-first century--the verification and study of bio-energy."", u'publishedDate': u'2000-06-01', u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=t4qmnRLiliIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=t4qmnRLiliIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Kosta Danaos'], u'categories': [u'Body, Mind & Spirit'], u'publisher': u'Inner Traditions / Bear & Co', u'language': u'en', u'readingModes': {u'text': True, u'image': False}, u'allowAnonLogging': True, u'title': u'The Magus of Java', u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'averageRating': 5.0, u'infoLink': u'https://play.google.com/store/books/details?id=t4qmnRLiliIC&source=gbs_api', u'ratingsCount': 1}","{u'textSnippet': u'The Magus of Java is the story of Kosta Danaos\u2019s apprenticeship with John Chang, and it is the story of the Mo-Pai, who for the past 2000 years have kept their teachings secret.'}","{u'country': u'US', u'retailPrice': {u'amount': 9.99, u'currencyCode': u'USD'}, u'isEbook': True, u'offers': [{u'retailPrice': {u'currencyCode': u'USD', u'amountInMicros': 9990000.0}, u'giftable': True, u'listPrice': {u'currencyCode': u'USD', u'amountInMicros': 16950000.0}, u'finskyOfferType': 1}], u'saleability': u'FOR_SALE', u'buyLink': u'https://play.google.com/store/books/details?id=t4qmnRLiliIC&rdid=book-t4qmnRLiliIC&rdot=1&source=gbs_api', u'listPrice': {u'amount': 16.95, u'currencyCode': u'USD'}}",9k7lUejXwiM,"{u'webReaderLink': u'http://play.google.com/books/reader?id=t4qmnRLiliIC&hl=&printsec=frontcover&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/The_Magus_of_Java-sample-epub.acsm?id=t4qmnRLiliIC&format=epub&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'accessViewStatus': u'SAMPLE'}",t4qmnRLiliIC,https://www.googleapis.com/books/v1/volumes/t4qmnRLiliIC
books#volume,"{u'publisher': u'Lulu.com', u'description': u'This thorough introduction to the Java programming process features carefully developed working programs that clarify key features of the Java language. Each chapter includes executable complete programs and full working explanations.', u'language': u'en', u'publishedDate': u'2006-08', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=4gsl2P8MO_wC&printsec=frontcover&dq=java&hl=&cd=36&source=gbs_api', u'title': u'Java by Dissection', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/Java_by_Dissection.html?hl=&id=4gsl2P8MO_wC', u'pageCount': 468, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'0.1.0.0.preview.1', u'industryIdentifiers': [{u'identifier': u'9781411652385', u'type': u'ISBN_13'}, {u'identifier': u'141165238X', u'type': u'ISBN_10'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=4gsl2P8MO_wC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=4gsl2P8MO_wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Charlie McDowell', u'Ira Pohl'], u'ratingsCount': 1, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=4gsl2P8MO_wC&dq=java&hl=&source=gbs_api', u'categories': [u'Computers'], u'averageRating': 5.0}",{u'textSnippet': u'This thorough introduction to the Java programming process features carefully developed working programs that clarify key features of the Java language. Each chapter includes executable complete programs and full working explanations.'},"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",tv9k3nmkZIg,"{u'webReaderLink': u'http://play.google.com/books/reader?id=4gsl2P8MO_wC&hl=&printsec=frontcover&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",4gsl2P8MO_wC,https://www.googleapis.com/books/v1/volumes/4gsl2P8MO_wC
books#volume,"{u'subtitle': u'AND ITS APPLICATIONS WITH JAVA AND J2ME', u'pageCount': 340, u'panelizationSummary': {u'containsEpubBubbles': False, u'containsImageBubbles': False}, u'previewLink': u'http://books.google.com/books?id=O9_xowxLNbQC&printsec=frontcover&dq=java&hl=&cd=48&source=gbs_api', u'contentVersion': u'1.4.1.0.preview.1', u'industryIdentifiers': [{u'identifier': u'8120324439', u'type': u'ISBN_10'}, {u'identifier': u'9788120324435', u'type': u'ISBN_13'}], u'canonicalVolumeLink': u'https://market.android.com/details?id=book-O9_xowxLNbQC', u'description': u'Bluetooth is a short range wireless radio technology standard that packs the potential to meet the demands of the present and of the future. Bluetooth is the most secure among all wireless technologies. This up-to-date, well-organized book provides a comprehensive coverage of Bluetooth and shows how various Bluetooth-enabled applications can be developed in Java and J2ME. The text provides a detailed description and a skilful analysis of the techniques involved in developing Bluetooth-enabled applications with a host of illustrative codes. This book, which treats a topic of current interest, will be extremely useful to students of computer science as well as to professionals in the field.', u'publishedDate': u'2004-01-01', u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=O9_xowxLNbQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=O9_xowxLNbQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'C. S. R. PRABHU', u'A. PRATHAP REDDI'], u'categories': [u'Computers'], u'publisher': u'PHI Learning Pvt. Ltd.', u'language': u'en', u'readingModes': {u'text': False, u'image': True}, u'allowAnonLogging': True, u'title': u'BLUETOOTH TECHNOLOGY', u'printType': u'BOOK', u'maturityRating': u'NOT_MATURE', u'averageRating': 5.0, u'infoLink': u'https://play.google.com/store/books/details?id=O9_xowxLNbQC&source=gbs_api', u'ratingsCount': 1}","{u'textSnippet': u'This book, which treats a topic of current interest, will be extremely useful to students of computer science as well as to professionals in the field.'}","{u'country': u'US', u'retailPrice': {u'amount': 2.88, u'currencyCode': u'USD'}, u'isEbook': True, u'offers': [{u'retailPrice': {u'currencyCode': u'USD', u'amountInMicros': 2880000.0}, u'giftable': True, u'listPrice': {u'currencyCode': u'USD', u'amountInMicros': 3790000.0}, u'finskyOfferType': 1}], u'saleability': u'FOR_SALE', u'buyLink': u'https://play.google.com/store/books/details?id=O9_xowxLNbQC&rdid=book-O9_xowxLNbQC&rdot=1&source=gbs_api', u'listPrice': {u'amount': 3.79, u'currencyCode': u'USD'}}",qeUUGt2le5U,"{u'webReaderLink': u'http://play.google.com/books/reader?id=O9_xowxLNbQC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': True, u'acsTokenLink': u'http://books.google.com/books/download/BLUETOOTH_TECHNOLOGY-sample-pdf.acsm?id=O9_xowxLNbQC&format=pdf&output=acs4_fulfillment_token&dl_type=sample&source=gbs_api'}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",O9_xowxLNbQC,https://www.googleapis.com/books/v1/volumes/O9_xowxLNbQC
books#volume,"{u'publisher': u'Editions Didier Millet', u'subtitle': u'The Lost Voyage', u'description': u""This title provides a blend of biography, travelogue and fiction charting renowned French poet Arthur Rimbaud's lost voyage. James's intriguing book is a concentrated blend of biography, criticism and thought-travel, bringing into sharp focus the brief encounter between a great writer and a vanished world."", u'language': u'en', u'publishedDate': u'2011', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=wYZyohGm7AsC&printsec=frontcover&dq=java&hl=&cd=53&source=gbs_api', u'title': u'Rimbaud in Java', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/Rimbaud_in_Java.html?hl=&id=wYZyohGm7AsC', u'pageCount': 128, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'9789814260824', u'type': u'ISBN_13'}, {u'identifier': u'9814260827', u'type': u'ISBN_10'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=wYZyohGm7AsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=wYZyohGm7AsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Jamie James'], u'ratingsCount': 1, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=wYZyohGm7AsC&dq=java&hl=&source=gbs_api', u'categories': [u'Biography & Autobiography'], u'averageRating': 2.0}","{u'textSnippet': u'At eighteen, the French poet Rimbaud proclaimed: &#39;My day is done; I&#39;m leaving Europe.'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",mlcR34UDkfQ,"{u'webReaderLink': u'http://play.google.com/books/reader?id=wYZyohGm7AsC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",wYZyohGm7AsC,https://www.googleapis.com/books/v1/volumes/wYZyohGm7AsC
books#volume,"{u'publisher': u'Jones & Bartlett Learning', u'description': u'Dale (University of Texas-Austin) teaches students how to program with Java by actively engaging them in the learning process, providing 14 chapters of lab activities that focus on the topics presented in the text Programming and Problem Solving with Java . In each lesson, students will gain program', u'language': u'en', u'publishedDate': u'2003', u'readingModes': {u'text': False, u'image': True}, u'previewLink': u'http://books.google.com/books?id=BENo_d6BBCQC&printsec=frontcover&dq=java&hl=&cd=55&source=gbs_api', u'title': u'A Laboratory Course for Programming with Java', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/A_Laboratory_Course_for_Programming_with.html?hl=&id=BENo_d6BBCQC', u'pageCount': 311, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'preview-1.0.0', u'industryIdentifiers': [{u'identifier': u'0763724637', u'type': u'ISBN_10'}, {u'identifier': u'9780763724634', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=BENo_d6BBCQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=BENo_d6BBCQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api'}, u'authors': [u'Nell Dale'], u'ratingsCount': 1, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=BENo_d6BBCQC&dq=java&hl=&source=gbs_api', u'categories': [u'Computers'], u'averageRating': 5.0}","{u'textSnippet': u'Dale (University of Texas-Austin) teaches students how to program with Java by actively engaging them in the learning process, providing 14 chapters of lab activities that focus on the topics presented in the text Programming and Problem ...'}","{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",jawwZpUmfPE,"{u'webReaderLink': u'http://play.google.com/books/reader?id=BENo_d6BBCQC&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': True, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'PARTIAL', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'SAMPLE'}",BENo_d6BBCQC,https://www.googleapis.com/books/v1/volumes/BENo_d6BBCQC
books#volume,"{u'publisher': u'Prentice Hall', u'subtitle': u'An Introduction to Problem Solving & Programming', u'description': u'Introduces object-oriented programming and important computer science concepts, such as testing and debugging techniques, program style, inheritance, and exception handling. This book includes coverage of the Swing libraries and event-driven programming. It is suitable for introductory Computer Science courses using Java.', u'language': u'en', u'publishedDate': u'2005', u'readingModes': {u'text': False, u'image': False}, u'previewLink': u'http://books.google.com/books?id=FlU_AQAAIAAJ&q=java&dq=java&hl=&cd=61&source=gbs_api', u'title': u'Java', u'printType': u'BOOK', u'canonicalVolumeLink': u'https://books.google.com/books/about/Java.html?hl=&id=FlU_AQAAIAAJ', u'pageCount': 1060, u'maturityRating': u'NOT_MATURE', u'contentVersion': u'0.1.1.0.preview.0', u'industryIdentifiers': [{u'identifier': u'0131492020', u'type': u'ISBN_10'}, {u'identifier': u'9780131492028', u'type': u'ISBN_13'}], u'imageLinks': {u'smallThumbnail': u'http://books.google.com/books/content?id=FlU_AQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api', u'thumbnail': u'http://books.google.com/books/content?id=FlU_AQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api'}, u'authors': [u'Walter J. Savitch'], u'ratingsCount': 1, u'allowAnonLogging': False, u'infoLink': u'http://books.google.com/books?id=FlU_AQAAIAAJ&dq=java&hl=&source=gbs_api', u'categories': [u'Computers'], u'averageRating': 3.0}",{u'textSnippet': u'This book includes coverage of the Swing libraries and event-driven programming. It is suitable for introductory Computer Science courses using Java.'},"{u'country': u'US', u'saleability': u'NOT_FOR_SALE', u'isEbook': False}",TwTS8bDsTao,"{u'webReaderLink': u'http://play.google.com/books/reader?id=FlU_AQAAIAAJ&hl=&printsec=frontcover&output=reader&source=gbs_api', u'publicDomain': False, u'embeddable': False, u'country': u'US', u'textToSpeechPermission': u'ALLOWED', u'pdf': {u'isAvailable': False}, u'quoteSharingAllowed': False, u'viewability': u'NO_PAGES', u'epub': {u'isAvailable': False}, u'accessViewStatus': u'NONE'}",FlU_AQAAIAAJ,https://www.googleapis.com/books/v1/volumes/FlU_AQAAIAAJ
